Occur Date,Occur Time,Location,Crime Type,Neighborhood,Latitude,Longitude
1/1/18,330,2048 MAIN ST,LARCENY-FROM VEHICLE,Sylvan Hills,33.69811,-84.42947
1/1/18,1530,1454 BEECHER ST SW,LARCENY-NON VEHICLE,Westview,33.73604,-84.43627
1/1/18,1625,3535 PEACHTREE RD NE @TARGET - PEACHTREE,LARCENY-NON VEHICLE,Lenox,33.85182,-84.3595
1/1/18,1700,3755 CARMIA DR SW,LARCENY-NON VEHICLE,Princeton Lakes,33.65722,-84.51029
1/1/18,30,996 HUFF RD NW;,AUTO THEFT,Blandtown,33.78887,-84.42027
1/1/18,130,1560 JOHNSON RD NW,AUTO THEFT,Rockdale,33.78574,-84.444
1/1/18,1400,42 W LAKE AVE NW,AUTO THEFT,West Lake,33.75619,-84.44449
1/1/18,1000,123 MARIETTA ST NW,AUTO THEFT,Downtown,33.75767,-84.39266
1/1/18,1330,700 MCGRUDER ST NE,AUTO THEFT,Old Fourth Ward,33.7586,-84.36513
1/1/18,1634,1818 LAKEWOOD AVE SE,ROBBERY-PEDESTRIAN,Lakewood Heights,33.70433,-84.38079
1/1/18,210,320 FAIRBURN RD SW,AGG ASSAULT,Fairburn Mays,33.74437,-84.50705
1/1/18,1520,566 UNIVERSITY AVE SW,AGG ASSAULT,Pittsburgh,33.72207,-84.40617
1/1/18,1128,474 HOLDERNESS ST SW,AGG ASSAULT,West End,33.74195,-84.42702
1/1/18,47,JOSEPH E LOWERY BLVD SW / OGLETHORPE AVE SW,AGG ASSAULT,West End,33.73583,-84.41772
1/1/18,1134,238 ROSSER ST SW,AGG ASSAULT,Ashview Heights,33.7484,-84.42414
1/1/18,1500,1995 RAMBLING DR SW,BURGLARY-RESIDENCE,Sylvan Hills,33.70057,-84.40756
1/1/18,1530,2788 DEFOORS FERRY RD NW,BURGLARY-RESIDENCE,,33.82114,-84.44713
1/1/18,1300,1801 HOWELL MILL RD,LARCENY-NON VEHICLE,Berkeley Park,33.80388,-84.41278
1/1/18,1520,2690 METROPOLITAN PKWY SW,LARCENY-NON VEHICLE,Perkerson,33.68169,-84.40737
1/1/18,1700,2539 PIEDMONT RD NE,LARCENY-NON VEHICLE,Lindbergh/Morosgo,33.82403,-84.36328
1/1/18,2000,3393 PEACHTREE RD NE,LARCENY-NON VEHICLE,Lenox,33.84884,-84.36475
1/1/18,100,91 BROAD ST NW,LARCENY-NON VEHICLE,Downtown,33.75608,-84.38871
1/1/18,200,43 JESSE HILL JR DR NE,LARCENY-FROM VEHICLE,Downtown,33.75582,-84.38013
1/1/18,100,2517 DONALD LEE HOLLOWELL PKWY NW,LARCENY-FROM VEHICLE,Center Hill,33.77605,-84.46824
1/1/18,430,658 WHITEHALL ST SW,LARCENY-FROM VEHICLE,Adair Park,33.74166,-84.40937
1/1/18,300,386 NORTHSIDE DR SW,LARCENY-FROM VEHICLE,Atlanta University Center,33.74437,-84.40837
1/1/18,300,1150 ASTOR AVE SW,LARCENY-FROM VEHICLE,Sylvan Hills,33.70137,-84.42678
1/1/18,820,1739 CHESHIRE BRIDGE RD NE,LARCENY-FROM VEHICLE,Morningside/Lenox Park,33.80748,-84.36519
1/1/18,1010,757 CLEVELAND AVE SW,LARCENY-FROM VEHICLE,Perkerson,33.68232,-84.41417
1/1/18,1029,620 PEACHTREE ST NE @WINDSOR,LARCENY-FROM VEHICLE,Midtown,33.77159,-84.38619
1/1/18,340,1888 EMERY ST NW,LARCENY-FROM VEHICLE,Wildwood (NPU-C),33.80701,-84.41444
1/1/18,1523,1700 HOWELL MILL RD NW,LARCENY-FROM VEHICLE,Underwood Hills,33.80076,-84.41623
1/1/18,1440,275 BAKER ST NW,LARCENY-FROM VEHICLE,Downtown,33.76206,-84.39568
1/1/18,1100,227 COURTLAND ST NE,LARCENY-FROM VEHICLE,Downtown,33.76067,-84.38354
1/1/18,1000,80 WALNUT ST SW,LARCENY-FROM VEHICLE,Atlanta University Center,33.75248,-84.40594
1/1/18,1815,396 PIEDMONT AVE NE,LARCENY-FROM VEHICLE,Downtown,33.76491,-84.3826
1/1/18,1600,100 LUCKIE ST NW,LARCENY-FROM VEHICLE,Downtown,33.7573,-84.38992
1/1/18,1845,488 FLAT SHOALS AVE SE,LARCENY-FROM VEHICLE,East Atlanta,33.74098,-84.34589
1/1/18,1600,3566 PIEDMONT RD NE,LARCENY-FROM VEHICLE,Buckhead Forest,33.85134,-84.37963
1/1/18,2000,2696 W MAIN ST NW,AUTO THEFT,Riverside,33.81387,-84.47616
1/1/18,1000,3600 PIEDMONT RD NE,LARCENY-NON VEHICLE,Buckhead Forest,33.85211,-84.38044
1/1/18,1830,2016 BEECHER RD SW,LARCENY-FROM VEHICLE,Cascade Avenue/Road,33.73376,-84.45401
1/1/18,0,975 LYNHURST DR SW,AUTO THEFT,East Ardley Road,33.72906,-84.4896
1/1/18,115,3833 PRINCETON LAKES CT SW,LARCENY-FROM VEHICLE,Princeton Lakes,33.65738,-84.51309
1/1/18,1600,156 FAIRFIELD PL NW,AGG ASSAULT,Dixie Hills,33.75847,-84.46338
1/1/18,0,339 ASHBURTON AVE SE,BURGLARY-RESIDENCE,East Lake,33.74332,-84.29359
1/1/18,2200,2965 PHARR COURT SOUTH NW @SLATON MANOR,AUTO THEFT,Peachtree Heights West,33.83605,-84.38457
1/1/18,0,915 W PEACHTREE ST NE,LARCENY-NON VEHICLE,Midtown,33.77975,-84.38698
1/1/18,800,1795 PEACHTREE ST NE,BURGLARY-NONRES,Brookwood Hills,33.80395,-84.39319
1/1/18,1000,1450 STOKES AVE SW,LARCENY-NON VEHICLE,Westview,33.74066,-84.43539
1/1/18,1000,1262 W PACES FERRY RD NW,LARCENY-NON VEHICLE,West Paces Ferry/Northside,33.84931,-84.42882
1/1/18,700,508 MAIN ST NE,LARCENY-NON VEHICLE,Lindbergh/Morosgo,33.82278,-84.3701
1/2/18,830,3550 CAMPBELLTON RD SW,LARCENY-FROM VEHICLE,,33.68984,-84.50491
1/2/18,930,521 PEACHTREE ST NE,LARCENY-FROM VEHICLE,Downtown,33.76879,-84.38489
1/2/18,1220,1380 ENGLISH ST NW,LARCENY-FROM VEHICLE,Blandtown,33.79405,-84.42052
1/2/18,1300,1000 MARIETTA ST NW,LARCENY-FROM VEHICLE,Marietta Street Artery,33.77914,-84.41116
1/2/18,1300,2325 MARIETTA BLVD NW,LARCENY-FROM VEHICLE,,33.82065,-84.45274
1/2/18,900,1058 NORTHSIDE DR NW,LARCENY-FROM VEHICLE,Home Park,33.78382,-84.40782
1/2/18,1500,1212 JAMES JACKSON PKWY NW,LARCENY-FROM VEHICLE,Monroe Heights,33.79333,-84.47416
1/2/18,1600,3393 PEACHTREE RD,LARCENY-FROM VEHICLE,Lenox,33.84676,-84.36212
1/2/18,1915,1024 LOS ANGELES AVE NE,LARCENY-FROM VEHICLE,Virginia Highland,33.78367,-84.35373
1/2/18,1939,2321 CHESHIRE BRIDGE RD NE,LARCENY-FROM VEHICLE,Lindridge/Martin Manor,33.81866,-84.35144
1/2/18,1815,893 PEACHTREE ST NE,LARCENY-FROM VEHICLE,Midtown,33.77853,-84.38431
1/2/18,1700,1634 MCLENDON AVE NE,LARCENY-FROM VEHICLE,Candler Park,33.765,-84.33395
1/2/18,2110,1492 PONCE DE LEON AVE NE,LARCENY-FROM VEHICLE,Druid Hills,33.77407,-84.33838
1/2/18,444,1977 MARTIN L KING JR DR NW,LARCENY-NON VEHICLE,,33.7511,-84.4479
1/2/18,800,2766 METROPOLITAN PKWY SW,LARCENY-NON VEHICLE,Hammond Park,33.67967,-84.40736
1/2/18,1147,1801 HOWELL MILL RD NW,LARCENY-NON VEHICLE,Berkeley Park,33.80388,-84.41278
1/2/18,1250,520 BOULEVARD SE,LARCENY-NON VEHICLE,Grant Park,33.7407,-84.36764
1/2/18,1250,4511 CAMPBELLTON RD SW;,LARCENY-NON VEHICLE,,33.69625,-84.53567
1/2/18,1414,2525 PIEDMONT RD NE @HOME DEPOT,LARCENY-NON VEHICLE,Lindbergh/Morosgo,33.824,-84.36521
1/2/18,1932,3334 PEACHTREE RD NE @ONE BUCKHEAD LOOP,LARCENY-NON VEHICLE,North Buckhead,33.84911,-84.37075
1/2/18,2200,100 LAKEWOOD WAY SE,LARCENY-NON VEHICLE,Lakewood Heights,33.69921,-84.39286
1/2/18,2243,1801 HOWELL MILL RD NW,LARCENY-NON VEHICLE,Berkeley Park,33.80388,-84.41278
1/2/18,930,626 DEKALB AVE SE,BURGLARY-RESIDENCE,Old Fourth Ward,33.75283,-84.36687
1/2/18,1151,1015 STONEWALL DR SE,BURGLARY-RESIDENCE,Leila Valley,33.69032,-84.35579
1/2/18,1700,1032 BIRCH ST SW,BURGLARY-RESIDENCE,Sylvan Hills,33.70521,-84.42205
1/2/18,1900,699 PONCE DE LEON AVE NE @FORD FACTORY SQUARE,BURGLARY-NONRES,Poncey-Highland,33.77296,-84.36414
1/2/18,1140,390 17TH ST NW,AGG ASSAULT,Atlantic Station,33.7902,-84.4003
1/2/18,1618,1287 THURGOOD ST,AGG ASSAULT,Mozley Park,33.75289,-84.43013
1/2/18,2211,2399 PARKLAND DR NE,ROBBERY-PEDESTRIAN,Lindbergh/Morosgo,33.81948,-84.36425
1/2/18,557,285 CENTRAL AVE,AUTO THEFT,Downtown,33.74809,-84.39201
1/2/18,1130,1341 AVON AVE SW,AUTO THEFT,Oakland City,33.72258,-84.43186
1/2/18,1225,1314 ENGLISH ST NW,AUTO THEFT,Blandtown,33.7907,-84.42085
1/2/18,800,3730 DUMBARTON RD NW,AUTO THEFT,Kingswood,33.85739,-84.41687
1/2/18,1200,467 PLAINVILLE DR SW,AUTO THEFT,Wildwood (NPU-H),33.74147,-84.51675
1/2/18,1339,462 WATERFORD RD NW,AUTO THEFT,Collier Heights,33.76766,-84.48377
1/2/18,1830,952 WESTMORELAND CIR NW;,AUTO THEFT,West Highlands,33.79063,-84.4491
1/2/18,1000,17 BAKER ST NW,AUTO THEFT,Downtown,33.76235,-84.38819
1/2/18,1900,734 IRA ST SW,AUTO THEFT,Mechanicsville,33.73487,-84.39972
1/2/18,0,183 MOUNT ZION RD SE,LARCENY-NON VEHICLE,Glenrose Heights,33.67268,-84.38507
1/2/18,916,800 GLENWOOD AVE SE,LARCENY-NON VEHICLE,Grant Park,33.74234,-84.36002
1/2/18,1202,2798 PEEK RD NW,LARCENY-FROM VEHICLE,Collier Heights,33.77743,-84.47815
1/2/18,1200,4411 LAKERIDGE CIR SW,LARCENY-FROM VEHICLE,Lake Estates,33.67597,-84.53278
1/2/18,915,826 WELCH ST SW,BURGLARY-RESIDENCE,Pittsburgh,33.73243,-84.40452
1/2/18,2200,1375 MAY AVE SE,BURGLARY-RESIDENCE,East Atlanta,33.73889,-84.3425
1/2/18,2000,4330 CELEBRATION DR SW     ,BURGLARY-RESIDENCE,,33.72123,-84.5272
1/2/18,1653,1720 MARIETTA BLVD NW,LARCENY-NON VEHICLE,Hills Park,33.80169,-84.43644
1/2/18,1600,4706 WIEUCA RD NE,BURGLARY-RESIDENCE,East Chastain Park,33.87566,-84.38197
1/2/18,2030,3410 ALEXANDER RD NE,LARCENY-FROM VEHICLE,North Buckhead,33.85387,-84.36702
1/2/18,2030,2865 RIDGEVIEW DR SW,LARCENY-FROM VEHICLE,Greenbriar,33.66715,-84.49256
1/2/18,2030,411 WOODWARD AVE SE,LARCENY-FROM VEHICLE,Grant Park,33.74537,-84.37405
1/2/18,2200,459 LYTLE AVE SE,LARCENY-FROM VEHICLE,Ormewood Park,33.74151,-84.35262
1/2/18,2300,1994 BENT CREEK WAY SW,LARCENY-FROM VEHICLE,Campbellton Road,33.7011,-84.46631
1/2/18,1700,2242 EDISON AVE NE,LARCENY-FROM VEHICLE,Peachtree Hills,33.81613,-84.38565
1/2/18,2000,1060 VICTORY DR SW,LARCENY-FROM VEHICLE,Sylvan Hills,33.70655,-84.42285
1/2/18,2130,505 FULTON ST SW,AUTO THEFT,Mechanicsville,33.74108,-84.40427
1/2/18,1700,1849 LAKEWOOD TER SE,LARCENY-NON VEHICLE,Lakewood Heights,33.70362,-84.38003
1/2/18,2210,864 SPRING ST NW,LARCENY-NON VEHICLE,Midtown,33.77911,-84.38932
1/2/18,1800,1900 LAKEWOOD AVE SE,LARCENY-FROM VEHICLE,Lakewood Heights,33.70306,-84.38325
1/2/18,1200,3242 PEACHTREE RD NE,LARCENY-FROM VEHICLE,Buckhead Forest,33.84286,-84.37291
1/2/18,1700,55 TRINITY AVE SW @CITY HALL,LARCENY-NON VEHICLE,Downtown,33.74799,-84.39034
